pID,bID,bAdi,pAdi
8170,27015,Hendek,Habbâb b. Eret
8150,27042,Ecnâdeyn,Hâlid b. Velid
8150,27040,yemame,Hâlid b. Velid
8150,27020,Mûte,Hâlid b. Velid
8151,27006,Bedir,Hâlid b. Zeyd
8151,27009,Uhud,Hâlid b. Zeyd
8151,27015,Hendek,Hâlid b. Zeyd
8151,27027,istanbul seferleri,Hâlid b. Zeyd
8162,27001,Ebva,Hamza b. Abdülmuttalib
8162,27002,BUWAT,Hamza b. Abdülmuttalib
8162,27004,Aşire,Hamza b. Abdülmuttalib
8162,27007,Beni Kaynuka,Hamza b. Abdülmuttalib
8162,27006,Bedir,Hamza b. Abdülmuttalib
8162,27009,Uhud,Hamza b. Abdülmuttalib
8129,27043,Horasan Fethi,Hasan b. Ali
8129,27044,Nehrevan,Hasan b. Ali
8129,27025,cemel,Hasan b. Ali
8129,27026,siffin,Hasan b. Ali
8124,27006,Bedir,Hubeyb b. Adîy
8124,27009,Uhud,Hubeyb b. Adîy
8154,27043,Horasan Fethi,Hüseyin b. Ali
8154,27044,Nehrevan,Hüseyin b. Ali
8154,27025,cemel,Hüseyin b. Ali
8154,27026,siffin,Hüseyin b. Ali
8133,27009,Uhud,Huzeyfe b. Yemân
8133,27015,Hendek,Huzeyfe b. Yemân
8133,27032,nihavend,Huzeyfe b. Yemân
8107,27006,Bedir,İyâd b. Ğanem
8107,27009,Uhud,İyâd b. Ğanem
8107,27015,Hendek,İyâd b. Ğanem
8107,27029,yermuk,İyâd b. Ğanem
8165,27029,yermuk,Ka’kâ b. Amr
8165,27025,cemel,Ka’kâ b. Amr
8165,27036,Kâdisiye,Ka’kâ b. Amr
8136,27006,Bedir,Mâlik b. Teyyihan
8136,27009,Uhud,Mâlik b. Teyyihan
8136,27015,Hendek,Mâlik b. Teyyihan
8130,27006,Bedir,Mikdâd b. Amr
8130,27009,Uhud,Mikdâd b. Amr
8130,27015,Hendek,Mikdâd b. Amr
8164,27042,Ecnâdeyn,Muâz b. Cebel
8164,27028,şam fethi,Muâz b. Cebel
8164,27006,Bedir,Muâz b. Cebel
8128,27006,Bedir,Mus’ab b. Umeyr
8128,27009,Uhud,Mus’ab b. Umeyr
8179,27028,şam fethi,Nu‘mân b. Beşir
8158,27006,Bedir,Nuaymân b. Amr
8158,27009,Uhud,Nuaymân b. Amr
8158,27015,Hendek,Nuaymân b. Amr
8110,27005,NAHLE SERİYYESİ,Ömer b. Hattab
8110,27006,Bedir,Ömer b. Hattab
8110,27007,Beni Kaynuka,Ömer b. Hattab
8110,27008,SAWIQ,Ömer b. Hattab
8110,27009,Uhud,Ömer b. Hattab
8110,27010,Hamrâülesed,Ömer b. Hattab
8110,27011,Benî Nadr,Ömer b. Hattab
8110,27012,Bedrü'l Mev'id,Ömer b. Hattab
8110,27013,Zatürrika,Ömer b. Hattab
8110,27014,Devmetü’l-Cendel,Ömer b. Hattab
8110,27015,Hendek,Ömer b. Hattab
8110,27016,Benî Kurayza,Ömer b. Hattab
8110,27017,BANU LAHYAN,Ömer b. Hattab
8110,27018,DHU QARAD,Ömer b. Hattab
8110,27019,Hayber,Ömer b. Hattab
8110,27020,Mûte,Ömer b. Hattab
8110,27021,Mekke Fethi,Ömer b. Hattab
8110,27022,Huneyn,Ömer b. Hattab
8110,27023,Taif,Ömer b. Hattab
8110,27024,Tebük,Ömer b. Hattab
8100,27005,NAHLE SERİYYESİ,Osman b. Affan
8100,27006,Bedir,Osman b. Affan
8100,27007,Beni Kaynuka,Osman b. Affan
8100,27008,SAWIQ,Osman b. Affan
8100,27009,Uhud,Osman b. Affan
8100,27010,Hamrâülesed,Osman b. Affan
8100,27011,Benî Nadr,Osman b. Affan
8100,27012,Bedrü'l Mev'id,Osman b. Affan
8100,27013,Zatürrika,Osman b. Affan
8100,27014,Devmetü’l-Cendel,Osman b. Affan
8100,27015,Hendek,Osman b. Affan
8100,27016,Benî Kurayza,Osman b. Affan
