bAdi,pAdi
Bedir,Muâz b. Cebel
Bedir,Mus’ab b. Umeyr
Uhud,Mus’ab b. Umeyr
şam fethi,Nu‘mân b. Beşir
Bedir,Nuaymân b. Amr
Uhud,Nuaymân b. Amr
Hendek,Nuaymân b. Amr
NAHLE SERİYYESİ,Ömer b. Hattab
Bedir,Ömer b. Hattab
Beni Kaynuka,Ömer b. Hattab
SAWIQ,Ömer b. Hattab
Uhud,Ömer b. Hattab
Hamrâülesed,Ömer b. Hattab
Benî Nadr,Ömer b. Hattab
Bedrü'l Mev'id,Ömer b. Hattab
Zatürrika,Ömer b. Hattab
Devmetü’l-Cendel,Ömer b. Hattab
Hendek,Ömer b. Hattab
Benî Kurayza,Ömer b. Hattab
BANU LAHYAN,Ömer b. Hattab
DHU QARAD,Ömer b. Hattab
Hayber,Ömer b. Hattab
Mûte,Ömer b. Hattab
Mekke Fethi,Ömer b. Hattab
Huneyn,Ömer b. Hattab
Taif,Ömer b. Hattab
Tebük,Ömer b. Hattab
NAHLE SERİYYESİ,Osman b. Affan
Bedir,Osman b. Affan
Beni Kaynuka,Osman b. Affan
SAWIQ,Osman b. Affan
Uhud,Osman b. Affan
Hamrâülesed,Osman b. Affan
Benî Nadr,Osman b. Affan
Bedrü'l Mev'id,Osman b. Affan
Zatürrika,Osman b. Affan
Devmetü’l-Cendel,Osman b. Affan
Hendek,Osman b. Affan
Benî Kurayza,Osman b. Affan
BANU LAHYAN,Osman b. Affan
DHU QARAD,Osman b. Affan
Hayber,Osman b. Affan
Mûte,Osman b. Affan
Mekke Fethi,Osman b. Affan
Huneyn,Osman b. Affan
Taif,Osman b. Affan
Tebük,Osman b. Affan
Bedir,Osman b. Maz’ûn
Bedir,Sa'd b. Ebi Vakkâs
Uhud,Sa'd b. Ebi Vakkâs
Hendek,Sa'd b. Ebi Vakkâs
Bedir,Sa'd b. Hayseme
Bedir,Sa’d b. Muâz
Uhud,Sa’d b. Muâz
Hendek,Sa’d b. Muâz
Hendek,Safvân b. Muattal
Azerbaycan,Safvân b. Muattal
Bedir,Saîd b. Zeyd
Uhud,Saîd b. Zeyd
Hendek,Saîd b. Zeyd
Mekke Fethi,Saîd b. Zeyd
yermuk,Saîd b. Zeyd
Ecnâdeyn,Saîd b. Zeyd
Bedir,Sâlim b. Übeyd
Uhud,Sâlim b. Übeyd
Hendek,Sâlim b. Übeyd
yemame,Sâlim b. Übeyd
Hendek,Selmân-ı Fârisî
Mekke Fethi,Selmân-ı Fârisî
Bedir,Suheyb-i Rumî b. Sinân
Uhud,Suheyb-i Rumî b. Sinân
Hendek,Suheyb-i Rumî b. Sinân
Tebük,Suheyb-i Rumî b. Sinân
Hayber,Suheyb-i Rumî b. Sinân
Hayber,Şürahbil b. Hasene
yemame,Şürahbil b. Hasene
şam fethi,Şürahbil b. Hasene
Bedir,Talha b. Ubeydullah
Beni Kaynuka,Talha b. Ubeydullah
Uhud,Talha b. Ubeydullah
Hamrâülesed,Talha b. Ubeydullah
Benî Nadr,Talha b. Ubeydullah
Bedrü'l Mev'id,Talha b. Ubeydullah
Zatürrika,Talha b. Ubeydullah
Devmetü’l-Cendel,Talha b. Ubeydullah
Hendek,Talha b. Ubeydullah
Benî Kurayza,Talha b. Ubeydullah
Hayber,Talha b. Ubeydullah
Mûte,Talha b. Ubeydullah
Mekke Fethi,Talha b. Ubeydullah
Huneyn,Talha b. Ubeydullah
Taif,Talha b. Ubeydullah
Tebük,Talha b. Ubeydullah
misir fethi,Ubâde b. Sâmit
Bedir,Ubâde b. Sâmit
Uhud,Ubâde b. Sâmit
Hendek,Ubâde b. Sâmit
Bedir,Übey b. Kâ’b
Uhud,Übey b. Kâ’b
Hendek,Übey b. Kâ’b
Bedir,Ubeyde b. Hâris
Bedir,Ukkâşe b. Mihsan
Uhud,Ukkâşe b. Mihsan
Hendek,Ukkâşe b. Mihsan
Hendek,Uveymir b. Âmr
yermuk,Uveymir b. Âmr
şam fethi,Uveymir b. Âmr
Bedir,Zeyd b. Hattâb
Uhud,Zeyd b. Hattâb
Hendek,Zeyd b. Hattâb
yemame,Zeyd b. Hattâb
Bedir,Zeyd b. Sehl
Uhud,Zeyd b. Sehl
Hendek,Zeyd b. Sehl
Huneyn,Zeyd b. Sehl
Aşire,Zübeyr b. Avvâm
NAHLE SERİYYESİ,Zübeyr b. Avvâm
Bedir,Zübeyr b. Avvâm
Beni Kaynuka,Zübeyr b. Avvâm
SAWIQ,Zübeyr b. Avvâm
Uhud,Zübeyr b. Avvâm
Hamrâülesed,Zübeyr b. Avvâm
Benî Nadr,Zübeyr b. Avvâm
Bedrü'l Mev'id,Zübeyr b. Avvâm
Zatürrika,Zübeyr b. Avvâm
Devmetü’l-Cendel,Zübeyr b. Avvâm
Hendek,Zübeyr b. Avvâm
Benî Kurayza,Zübeyr b. Avvâm
BANU LAHYAN,Zübeyr b. Avvâm
DHU QARAD,Zübeyr b. Avvâm
Hayber,Zübeyr b. Avvâm
Mûte,Zübeyr b. Avvâm
Mekke Fethi,Zübeyr b. Avvâm
Huneyn,Zübeyr b. Avvâm
Taif,Zübeyr b. Avvâm
Tebük,Zübeyr b. Avvâm
cemel,Zübeyr b. Avvâm
yermuk,Zübeyr b. Avvâm
misir fethi,Zübeyr b. Avvâm
